ndcg@1>=0.00,ndcg@1>=0.60,ndcg@1>=0.80,ndcg@1>=1.00,relevance,objective,x
1.9994990544653035,1.9994990544653035,1.9994990544653035,1.9994990544653035,1.9994990544653035,1.9994990544653035,1
3.9980669417861034,3.9980669417861034,3.9980669417861034,3.9980669417861034,3.999008966494512,3.9980179329890255,2
5.995736556130213,5.995736556130213,5.995736556130213,5.995736556130213,5.998512910142512,5.9955387304275325,3
7.9924764591088175,7.9924764591088175,7.9924764591088175,7.9924764591088175,7.9980337190171324,7.992134876068522,4
9.988137530013393,9.988137530013393,9.988137530013393,9.988137530013393,9.99755918939462,9.987795946973094,5
11.982859504607205,11.982859504607205,11.982859504607205,11.982859504607205,11.997086320261149,11.982517921566908,6
13.976612159827054,13.976612159827054,13.976612159827054,13.976612159827054,13.996588758314696,13.976121308202824,7
15.969193353864176,15.969193353864176,15.969193353864176,15.969193353864176,15.996087812779988,15.96870250223994,8
17.960919383704127,17.960919383704127,17.960919383704127,17.960919383704127,17.995597724809198,17.960379523282818,9
19.951705361898913,19.951705361898913,19.951705361898913,19.951705361898913,19.9951016684572,19.951016684572,10
21.941679685314547,21.941679685314547,21.941679685314547,21.941679685314547,21.99462247733182,21.940847250650016,11
23.930607807176226,23.930607807176226,23.930607807176226,23.930607807176226,23.99414794770931,23.929775372511696,12
25.91860845615045,25.91860845615045,25.91860845615045,25.91860845615045,25.99367507857584,25.91777602148593,13
27.90546693605976,27.90546693605976,27.90546693605976,27.90546693605976,27.993177516629387,27.904485232811297,14
29.891130269668693,29.891130269668693,29.891130269668693,29.891130269668693,29.99267657109469,29.890148566420226,15
31.876014442027802,31.876014442027802,31.876014442027802,31.876014442027802,31.99218648312391,31.87498372998225,16
33.85991678407326,33.85991678407326,33.85991678407326,33.85991678407326,33.99169042677189,33.85873725512212,17
35.84312552792592,35.84312552792592,35.84312552792592,35.84312552792592,35.9912112356465,35.84180224163716,18
37.82532070074471,37.82532070074471,37.82532070074471,37.82532070074471,37.99073670602401,37.82399741445595,19
39.80660002409935,39.80660002409935,39.80660002409935,39.80660002409935,39.99026383689054,39.80527673781061,20
41.78656432869811,41.78656432869811,41.78656432869811,41.78656432869811,41.989766274944074,41.78509177382541,21
43.76530980187887,43.76530980187887,43.76530980187887,43.76530980187887,43.98926532940937,43.763837247006165,22
45.743352116757116,45.743352116757116,45.743352116757116,45.743352116757116,45.98877524143858,45.74183055308736,23
47.72037082265326,47.72037082265326,47.72037082265326,47.72037082265326,47.988279185086576,47.718700442077896,24
49.69681398694294,49.69681398694294,49.69681398694294,49.69681398694294,49.987799993961204,49.69499984902996,25
51.672276210718834,51.672276210718834,51.672276210718834,51.672276210718834,51.98732546433868,51.670462072805854,26
53.6468342084539,53.6468342084539,53.6468342084539,53.6468342084539,53.98685259520522,53.64502007054092,27
55.61990433774212,55.61990433774212,55.61990433774212,55.61990433774212,55.98635503325878,55.61794093124519,28
57.59173195049468,57.59173195049468,57.59173195049468,57.59173195049468,57.985854087724064,57.58976854399774,29
59.562932407892106,59.562932407892106,59.562932407892106,59.562932407892106,59.985363999753275,59.56091999259807,30
61.5330674776389,61.5330674776389,61.5330674776389,61.5330674776389,61.98486794340126,61.5309062454393,31
63.50274506236562,63.50274506236562,63.50274506236562,63.50274506236562,63.98438875227587,63.5004400728284,32
65.47147433709861,65.47147433709861,65.47147433709861,65.47147433709861,65.98391422265335,65.46916934756139,33
67.43931100921411,67.43931100921411,67.43931100921411,67.43931100921411,67.98344135351991,67.4370060196769,34
69.40548696319179,69.40548696319179,69.40548696319179,69.40548696319179,69.98294379157346,69.40303270507061,35
71.37039671551614,71.37039671551614,71.37039671551614,71.37039671551614,71.98244284603874,71.36794245739497,36
73.33475531543272,73.33475531543272,73.33475531543272,73.33475531543272,73.98195275806795,73.33225204851448,37
75.2980067490302,75.2980067490302,75.2980067490302,75.2980067490302,75.98145670171596,75.29535466520636,38
77.26091875419395,77.26091875419395,77.26091875419395,77.26091875419395,77.98097751059058,77.25812291303248,39
79.22291507988406,79.22291507988406,79.22291507988406,79.22291507988406,79.98050298096804,79.22011923872259,40
81.18403042637996,81.18403042637996,81.18403042637996,81.18403042637996,81.98003011183461,81.18123458521849,41
83.14331220504707,83.14331220504707,83.14331220504707,83.14331220504707,83.97953254988812,83.14036709530168,42
85.10130409694327,85.10130409694327,85.10130409694327,85.10130409694327,85.97903160435345,85.09835898719786,43
87.05882083937898,87.05882083937898,87.05882083937898,87.05882083937898,87.97854151638266,87.0558267208365,44
89.01518863682716,89.01518863682716,89.01518863682716,89.01518863682716,89.97804546003067,89.01204570137907,45
90.97133506242793,90.97133506242793,90.97133506242793,90.97133506242793,91.97756626890528,90.96804836964223,46
92.92659843907516,92.92659843907516,92.92659843907516,92.92659843907516,93.97709173928276,92.92331174628944,47
94.88099245995147,94.88099245995147,94.88099245995147,94.88099245995147,95.97661887014931,94.87770576716578,48
96.83338006330804,96.83338006330804,96.83338006330804,96.83338006330804,97.97612130820283,96.8299441019384,49
98.78445409477604,98.78445409477604,98.78445409477604,98.78445409477604,99.97562036266815,98.7810181334064,50
100.73512897973093,100.73512897973093,100.73512897973093,100.73512897973093,101.97513027469736,100.7316440095642,51
102.68461314102976,102.68461314102976,102.68461314102976,102.68461314102976,103.97463421834536,102.68097935395748,52
104.63399398706757,104.63399398706757,104.63399398706757,104.63399398706757,105.97415502721998,104.63021644265764,53
106.58252441467188,106.58252441467188,106.58252441467188,106.58252441467188,107.97368049759744,106.57874687026195,54
108.53019710992862,108.53019710992862,108.53019710992862,108.53019710992862,109.97320762846395,108.52641956551871,55
110.47569053797464,110.47569053797464,110.47569053797464,110.47569053797464,111.97271006651756,110.47176372498078,56
112.41984670901444,112.41984670901444,112.41984670901444,112.41984670901444,113.97220912098284,112.4159198960206,57
114.36367973648844,114.36367973648844,114.36367973648844,114.36367973648844,115.97171903301205,114.35970391469752,58
116.306280261638,116.306280261638,116.306280261638,116.306280261638,117.97122297666002,116.30215562294147,59
